
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
  33 12 2020    0.00    0.00    0.00    0.19    0.00    0.00    0.00    0.00   -0.19   -0.00    0.00    0.00    58.9    0.00
  33 24 2020    0.00    0.00    0.00    0.74    0.00    0.00    0.00    0.00   -0.74   -0.00    0.00    0.00    59.6    0.00
  34 12 2020    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09   -0.00    0.00    0.00    59.7    0.00
  34 24 2020    0.00    0.00    0.00    0.28    0.00    0.00    0.00    0.00   -0.28   -0.00    0.00    0.00    60.0    0.00
  35 12 2020    0.00    0.00    0.00    0.14    0.00    0.00    0.00    0.00   -0.14   -0.00    0.00    0.00    60.1    0.00
  35 24 2020    0.00    0.00    0.00    0.47    0.00    0.00    0.00    0.00   -0.47   -0.00    0.00    0.00    60.6    0.00
  36 12 2020    0.00    0.00    0.00    0.12    0.00    0.00    0.00    0.00   -0.12   -0.00    0.00    0.00    60.7    0.00
  36 24 2020    0.00    0.00    0.00    0.62    0.00    0.00    0.00    0.00   -0.62   -0.00    0.00    0.00    61.3    0.00
  37 12 2020    0.00    0.00    0.00    0.41    0.00    0.00    0.00    0.00   -0.41   -0.00    0.00    0.00    61.7    0.00
  37 24 2020    0.00    0.00    0.00    0.63    0.00    0.00    0.00    0.00   -0.63   -0.00    0.00    0.00    62.4    0.00
  38 12 2020    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09   -0.00    0.00    0.00    62.5    0.00
  38 24 2020    0.00    0.00    0.00    0.63    0.00    0.00    0.00    0.00   -0.63   -0.00    0.00    0.00    63.1    0.00
  39 12 2020    0.00    0.00    0.00    0.08    0.00    0.00    0.00    0.00   -0.08   -0.00    0.00    0.00    63.2    0.00
